cycle,range_bin,doppler_bin,output_hex
1291835000,33,22,017001f6
1291845000,33,23,feecfdfa
1291855000,33,24,019f007b
1291865000,33,25,ff1d0022
1291875000,33,26,ff38ffb3
1291885000,33,27,006200dd
1291895000,33,28,00c4ff54
1291905000,33,29,ff1e0032
1291915000,33,30,014bfefe
1291925000,33,31,ff0a02c0
1296995000,34,0,0067009f
1297005000,34,1,ffbffeec
1297015000,34,2,0056004a
1297025000,34,3,007d006e
1297035000,34,4,fceaff41
1297045000,34,5,02c40022
1297055000,34,6,feb4017a
1297065000,34,7,fecdfe25
1297075000,34,8,01c60272
1297085000,34,9,0005fe07
1297095000,34,10,fe7f0197
1297105000,34,11,01e5fe9d
1297115000,34,12,ff7b0036
1297125000,34,13,00720188
1297135000,34,14,febeff52
1297145000,34,15,0154ffcd
1297155000,34,16,fed5ff07
1297165000,34,17,00f90338
1297175000,34,18,002afc10
1297185000,34,19,006f0252
1297195000,34,20,fe16fe91
1297205000,34,21,023e00f4
1297215000,34,22,fe9aff94
1297225000,34,23,00e90045
1297235000,34,24,ff36fef4
1297245000,34,25,01b70269
1297255000,34,26,fea9fccf
1297265000,34,27,ff5b0277
1297275000,34,28,002dfef4
1297285000,34,29,0090ff6e
1297295000,34,30,00bc0108
1297305000,34,31,ff02ff25
1302375000,35,0,0044ffec
1302385000,35,1,001fff7a
1302395000,35,2,006e0103
1302405000,35,3,fed1ff70
1302415000,35,4,00ae00b5
1302425000,35,5,fdf4fef3
1302435000,35,6,0295016d
1302445000,35,7,fc90fddb
1302455000,35,8,03fd03bb
1302465000,35,9,fe26fde7
1302475000,35,10,00920060
1302485000,35,11,ff4bffc8
1302495000,35,12,021a006e
1302505000,35,13,fe2bff90
1302515000,35,14,004d0016
1302525000,35,15,008700f9
1302535000,35,16,fffcfe56
1302545000,35,17,fff30132
1302555000,35,18,ff0cffc3
1302565000,35,19,01c1fe8e
1302575000,35,20,ff200151
1302585000,35,21,00ecff8d
1302595000,35,22,fe67ffef
1302605000,35,23,00be00c9
1302615000,35,24,009ffef7
1302625000,35,25,ff8400bd
1302635000,35,26,ff44feb6
1302645000,35,27,00f3014a
1302655000,35,28,ff6cff30
1302665000,35,29,ff01ffd8
1302675000,35,30,0297015a
1302685000,35,31,fe33fedb
1307755000,36,0,0080ff36
1307765000,36,1,ffdd000a
1307775000,36,2,ffcb0015
1307785000,36,3,00970054
1307795000,36,4,ffb5ff06
1307805000,36,5,0058ff99
1307815000,36,6,feb801e0
1307825000,36,7,00f6fd41
1307835000,36,8,fe3801f5
1307845000,36,9,02c4ff5c
1307855000,36,10,fe9400bc
1307865000,36,11,fefbfed4
1307875000,36,12,023cff99
1307885000,36,13,fea90271
1307895000,36,14,0060fdc3
1307905000,36,15,ff4b01be
1307915000,36,16,ffc6fe8a
1307925000,36,17,01a100fc
1307935000,36,18,fe29fe0f
1307945000,36,19,0181026a
